"Category","English","Khmer","Phonetic","AudioFile","Visible"
"Essentials","Hello","ជំរាបសួរ","chomreabsuor","01 Essentials\Hello (chomreabsuor).mp3","true"
"Essentials","Hi","សួស្តី","suostei","01 Essentials\Hi (suostei).mp3","true"
"Essentials","Good evening","ទិវាសួស្តី","tivea suostei","01 Essentials\Good evening (tivea suostei).mp3","false"
"Essentials","Goodbye","លាហើយ","leahaey","01 Essentials\Goodbye (leahaey).mp3","false"
"Essentials","Goodbye","លាសិនហើយ","leahaey","01 Essentials\Goodbye (leahaey) 2.mp3","false"
"Essentials","See you later","ជួប​គ្នា​ពេល​ក្រោយ","chuob​ knea​ pel kraoy","01 Essentials\See you later (chuob​ knea​ pel kraoy).mp3","false"
"Essentials","See you later","ជួបគ្នាលើកក្រោយ","chuob​ knea​ leuk kraoy","01 Essentials\See you later (chuob​ knea​ leuk kraoy).mp3","false"
"Essentials","Yes","ចាស","chars","01 Essentials\Yes (chars).mp3","true"
"Essentials","Yes","បាទ","bat","01 Essentials\Yes (bat).mp3","true"
"Essentials","No","ទេ","te","01 Essentials\No (te).mp3","false"
"Essentials","No","អត់ទេ","at te","01 Essentials\No (at te).mp3","false"
"Essentials","Excuse me!","សូម!","saum!","01 Essentials\Excuse me! (saum!).mp3","false"
"Essentials","Excuse me!","សូមមេត្តា!","saum meta!","01 Essentials\Excuse me! (saum meta!).mp3","true"
"Essentials","Thanks","សូមអរគុណ","saum arkun","01 Essentials\Thanks (saum arkun).mp3","false"
"Essentials","Thanks","អរគុណ","arkun","01 Essentials\Thanks (arkun).mp3","false"
"Essentials","Thanks a lot","អរគុណច្រើន","arkun chraen","01 Essentials\Thanks a lot (arkun chraen).mp3","true"
"Essentials","Thanks a lot","អរគុណណាស់","arkun nas","01 Essentials\Thanks a lot (arkun nas).mp3","false"
"Essentials","Thank you for your help","អរគុណ​ដែលបានជួយ","arkun​ del ban chhuou","01 Essentials\Thank you for your help (arkun​ del ban chhuou).mp3","false"
"Essentials","You’re welcome","មិនអីទេ","min ey te","01 Essentials\You’re welcome (min ey te).mp3","false"
"Essentials","You’re welcome","កុំរំលឹកអី","kom rum leuk ey","01 Essentials\You’re welcome (kom rum leuk ey).mp3","false"
"Essentials","Okay","យល់ព្រម","yolprom","01 Essentials\Okay (yolprom).mp3","false"
"Essentials","How much is it?","តើ​ថ្លៃប៉ុន្មាន?","tae​ tlai ponman?","01 Essentials\How much is it (tae​ tlai ponman).mp3","true"
"Essentials","Sorry!","សុំទោស!","somtos!","01 Essentials\Sorry! (somtos!).mp3","true"
